date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:57	403056/403056	---M--	200	added ('OK')	font/ttf	etag:%2262670-638ec183071ca%22	https://themesdesign.in/tocly/layouts/assets/fonts/remixicon.ttf?t=1590207869815	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/fonts/remixicondf6d.ttf	(from https://themesdesign.in/tocly/layouts/assets/css/icons.min.css)
19:40:58	238666/238666	---M--	200	added ('OK')	image/jpeg	etag:%223a44a-638ec183217aa%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-3.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-3.jpg	(from https://themesdesign.in/tocly/layouts/email-read.html)
19:40:58	1195522/1195522	---M--	200	added ('OK')	image/svg+xml	etag:%22123e02-638ec1830528a%22	https://themesdesign.in/tocly/layouts/assets/fonts/remixicon.svg?t=1590207869815	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/fonts/remixicondf6d.svg	(from https://themesdesign.in/tocly/layouts/assets/css/icons.min.css)
19:40:59	238282/238282	---M--	200	added ('OK')	image/jpeg	etag:%223a2ca-638ec1832274a%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-4.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-4.jpg	(from https://themesdesign.in/tocly/layouts/email-read.html)
19:41:00	14357/14357	---M-Z	200	added ('OK')	text/css	etag:%223815-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/core/main.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/core/main.min.css	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:00	1004/1004	---M-Z	200	added ('OK')	text/css	etag:%223ec-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/daygrid/main.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/daygrid/main.min.css	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:01	416/416	---M-Z	200	added ('OK')	text/css	etag:%221a0-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/bootstrap/main.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/bootstrap/main.min.css	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:01	3377/3377	---M-Z	200	added ('OK')	text/css	etag:%22d31-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/timegrid/main.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/timegrid/main.min.css	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:02	53324/53324	---M-Z	200	added ('OK')	text/javascript	etag:%22d04c-638ec1835e069-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/moment/min/moment.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/moment/min/moment.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:11	253669/253669	---MCZ	200	added ('OK')	text/javascript	etag:%223dee5-638ec18354429-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/jquery-ui-dist/jquery-ui.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/jquery-ui-dist/jquery-ui.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:22	127416/127416	---M-Z	200	added ('OK')	text/javascript	etag:%221f1b8-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/core/main.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/core/main.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:35	1650/1650	---M-Z	200	added ('OK')	text/javascript	etag:%22672-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/bootstrap/main.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/bootstrap/main.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:42	28238/28238	---M-Z	200	added ('OK')	text/javascript	etag:%226e4e-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/daygrid/main.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/daygrid/main.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:44	25180/25180	---M-Z	200	added ('OK')	text/javascript	etag:%22625c-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/timegrid/main.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/timegrid/main.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:44	36208/36208	---M-Z	200	added ('OK')	text/javascript	etag:%228d70-638ec1832e2ca-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/interaction/main.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@fullcalendar/interaction/main.min.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
19:41:44	2618/2618	---M-Z	200	added ('OK')	text/javascript	etag:%22a3a-638ec1832a44a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/calendar.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/calendar.init.js	(from https://themesdesign.in/tocly/layouts/calendar.html)
